date,value
2026-02-16,56806.41
2026-02-17,56566.49
2026-02-18,57143.84
2026-02-19,57467.83
2026-02-20,56825.7
2026-02-24,57321.09
2026-02-25,58583.12
2026-02-26,58753.39
2026-02-27,58850.27
2026-03-02,58057.24
2026-03-03,56279.05
2026-03-04,54245.54
2026-03-05,55278.06
2026-03-06,55620.84
2026-03-09,52728.72
2026-03-10,54248.39
2026-03-11,55025.37
2026-03-12,54452.96
2026-03-13,53819.61
2026-03-16,53751.15
2026-03-17,53700.39
2026-03-18,55239.4
2026-03-19,53372.53
2026-03-23,51515.49
2026-03-24,52252.28
2026-03-25,53749.62
2026-03-26,53603.65
2026-03-27,53373.07
2026-03-30,51885.85
2026-03-31,51063.72
2026-04-01,53739.68
2026-04-02,52463.27
2026-04-03,53123.49
2026-04-06,53413.68
2026-04-07,53429.56
2026-04-08,56308.42
2026-04-09,55895.32
2026-04-10,56924.11
2026-04-13,56502.77
2026-04-14,57877.39
2026-04-15,58134.24
2026-04-16,59518.34
2026-04-17,58475.9
2026-04-20,58824.89
2026-04-21,59349.17
2026-04-22,59585.86
2026-04-23,59140.23
2026-04-24,59716.18
2026-04-27,60537.36
2026-04-28,59917.46
2026-04-30,59284.92
2026-05-01,59513.12
2026-05-07,62833.84
2026-05-08,62713.65
2026-05-11,62417.88
2026-05-12,62742.57
2026-05-13,63272.11
2026-05-14,62654.05
2026-05-15,61409.29
2026-05-18,60815.95
2026-05-19,60550.59
2026-05-20,59804.41
2026-05-21,61684.14
2026-05-22,63339.07
2026-05-25,65158.19
2026-05-26,64996.09
2026-05-27,64999.41
2026-05-28,64693.12
2026-05-29,66329.5
2026-06-01,66934.33
2026-06-02,66734.24
2026-06-03,68402.13
2026-06-04,67470.69
2026-06-05,66588.12
2026-06-08,64024.6
2026-06-09,65416.63
2026-06-10,64179.27
2026-06-11,64217.27
2026-06-12,66020.04
2026-06-15,69317.5
2026-06-16,69404.5
2026-06-17,69902.25
2026-06-18,71053.49
2026-06-19,71250.06
2026-06-22,72353.96
2026-06-23,69788.38
2026-06-24,69174.97
2026-06-25,72366.34
2026-06-26,69360.88
2026-06-29,69468.11
2026-06-30,70062.32
2026-07-01,70474.96
2026-07-02,68733.15
2026-07-03,69744.07
2026-07-06,69737.69
2026-07-07,68256.96
2026-07-08,66819.05
2026-07-09,67743.85
2026-07-10,68557.73
2026-07-13,67242.73
2026-07-14,67743.5
2026-07-15,68751.51
2026-07-16,66835.54
2026-07-17,64141.12
2026-07-21,66232.19
2026-07-22,66115.6
2026-07-23,66422.6
2026-07-24,64611.15
2026-07-27,64931.19
2026-07-28,62364.92
2026-07-29,61434.19
2026-07-30,61867.43
2026-07-31,64362.02
2026-08-03,63754.9
2026-08-04,63957.53
2026-08-05,66300.44
2026-08-06,65683.26
2026-08-07,65606.71
2026-08-10,66970.22
2026-08-12,67524.06
2026-08-13,68308.59
2026-08-14,68713.8
